update_step,total_steps,avg_step_reward,avg_episode_reward,avg_episode_length,n_finished,n_total,policy_loss,value_loss,entropy
152,1245184,0.9552,0.0000,128.0000,0,64,0.0004,0.0161,2.1190
153,1253376,0.9552,0.0000,128.0000,0,64,0.0012,0.0111,1.7313
154,1261568,0.9552,0.0000,128.0000,0,64,0.0022,0.0212,2.0241
155,1269760,0.9552,0.0000,128.0000,0,64,-0.0003,0.0109,1.9862
156,1277952,0.9552,0.0000,128.0000,0,64,-0.0013,0.0105,2.0417
157,1286144,0.9553,0.0000,128.0000,0,64,-0.0021,0.0112,2.0917
158,1294336,0.9553,0.0000,128.0000,0,64,0.0009,0.0097,1.8974
159,1302528,0.9553,0.0000,128.0000,0,64,0.0003,0.0193,2.0264
160,1310720,0.9553,0.0000,128.0000,0,64,0.0009,0.0188,2.1734
161,1318912,0.9553,0.0000,128.0000,0,64,0.0013,0.0100,2.0625
162,1327104,0.9553,0.0000,128.0000,0,64,0.0027,0.0190,2.1179
163,1335296,0.9553,0.0000,128.0000,0,64,-0.0020,0.0182,2.2396
164,1343488,0.9553,0.0000,128.0000,0,64,-0.0000,0.0091,2.3399
165,1351680,0.9553,0.0000,128.0000,0,64,-0.0001,0.0110,2.2304
166,1359872,0.9553,0.0000,128.0000,0,64,0.0004,0.0086,2.3636
167,1368064,0.9553,0.0000,128.0000,0,64,0.0022,0.0071,2.2376
168,1376256,0.9553,0.0000,128.0000,0,64,0.0006,0.0074,2.4499
169,1384448,0.9554,0.0000,128.0000,0,64,-0.0016,0.0121,2.4020
170,1392640,0.9561,0.0000,128.0000,0,64,0.0068,0.0105,2.4810
171,1400832,0.9561,0.0000,128.0000,0,64,-0.0001,0.0066,2.5788
172,1409024,0.9561,0.0000,128.0000,0,64,0.0032,0.0086,2.4632
173,1417216,0.9561,0.0000,128.0000,0,64,0.0038,0.0087,2.5585
174,1425408,0.9561,0.0000,128.0000,0,64,0.0023,0.0089,2.3736
175,1433600,0.9561,0.0000,128.0000,0,64,-0.0011,0.0075,2.4025
176,1441792,0.9561,0.0000,128.0000,0,64,-0.0004,0.0080,2.4502
177,1449984,0.9561,0.0000,128.0000,0,64,0.0015,0.0088,2.3206
178,1458176,0.9561,0.0000,128.0000,0,64,0.0034,0.0073,2.5767
179,1466368,0.9561,0.0000,128.0000,0,64,0.0009,0.0079,2.4980
180,1474560,0.9561,0.0000,128.0000,0,64,0.0017,0.0082,2.3567
181,1482752,0.9561,0.0000,128.0000,0,64,0.0006,0.0087,2.5978
182,1490944,0.9561,0.0000,128.0000,0,64,0.0005,0.0071,2.5693
183,1499136,0.9561,0.0000,128.0000,0,64,-0.0010,0.0054,2.5088
184,1507328,0.9561,0.0000,128.0000,0,64,0.0005,0.0177,2.6385
185,1515520,0.9560,0.0000,128.0000,0,64,-0.0004,0.0181,2.5769
186,1523712,0.9560,0.0000,128.0000,0,64,0.0006,0.0083,2.5697
187,1531904,0.9560,0.0000,128.0000,0,64,0.0032,0.0101,2.5829
188,1540096,0.9560,0.0000,128.0000,0,64,0.0021,0.0154,2.4442
189,1548288,0.9560,0.0000,128.0000,0,64,0.0002,0.0060,2.5087
190,1556480,0.9560,0.0000,128.0000,0,64,-0.0008,0.0071,2.4126
191,1564672,0.9560,0.0000,128.0000,0,64,0.0024,0.0103,2.3701
192,1572864,0.9560,0.0000,128.0000,0,64,0.0038,0.0071,2.5638
193,1581056,0.9561,0.0000,128.0000,0,64,0.0036,0.0067,2.6108
194,1589248,0.9565,0.0000,128.0000,0,64,0.0103,0.0081,2.5874
195,1597440,0.9568,0.0000,128.0000,0,64,-0.0003,0.0079,2.6871
196,1605632,0.9570,0.0000,128.0000,0,64,-0.0008,0.0078,2.7022
197,1613824,0.9572,0.0000,128.0000,0,64,0.0009,0.0077,2.5677
198,1622016,0.9574,0.0000,128.0000,0,64,0.0018,0.0067,2.6521
199,1630208,0.9576,0.0000,128.0000,0,64,0.0025,0.0094,2.7356
200,1638400,0.9581,0.0000,128.0000,0,64,0.0024,0.0069,2.7074
201,1646592,0.9584,0.0000,128.0000,0,64,0.0018,0.0071,2.8245
202,1654784,0.9586,0.0000,128.0000,0,64,0.0017,0.0053,2.7455
203,1662976,0.9591,0.0000,128.0000,0,64,0.0041,0.0102,2.7602
204,1671168,0.9594,0.0000,128.0000,0,64,0.0019,0.0065,2.8352
205,1679360,0.9596,0.0000,128.0000,0,64,0.0028,0.0105,2.7458
206,1687552,0.9597,0.0000,128.0000,0,64,-0.0004,0.0111,2.8025
207,1695744,0.9598,0.0000,128.0000,0,64,-0.0023,0.0203,2.7382
208,1703936,0.9599,0.0000,128.0000,0,64,0.0023,0.0069,2.8375
209,1712128,0.9600,0.0000,128.0000,0,64,0.0004,0.0056,2.8252
210,1720320,0.9600,0.0000,128.0000,0,64,0.0012,0.0085,2.7551
211,1728512,0.9601,0.0000,128.0000,0,64,-0.0001,0.0073,2.7836
212,1736704,0.9601,0.0000,128.0000,0,64,-0.0001,0.0093,2.7510
213,1744896,0.9602,0.0000,128.0000,0,64,0.0002,0.0084,2.7512
214,1753088,0.9602,0.0000,128.0000,0,64,-0.0015,0.0083,2.6660
215,1761280,0.9602,0.0000,128.0000,0,64,0.0007,0.0066,2.6625
216,1769472,0.9603,0.0000,128.0000,0,64,-0.0003,0.0060,2.7890
217,1777664,0.9604,0.0000,128.0000,0,64,-0.0006,0.0093,2.7024
218,1785856,0.9606,0.0000,128.0000,0,64,0.0021,0.0106,2.8106
219,1794048,0.9616,0.0000,128.0000,0,64,-0.0004,0.0194,2.7998
220,1802240,0.9630,0.0000,128.0000,0,64,0.0011,0.0161,2.7790
221,1810432,0.9645,0.0000,128.0000,0,64,0.0018,0.0258,2.7595
222,1818624,0.9651,0.0000,128.0000,0,64,-0.0006,0.0200,2.7894
223,1826816,0.9653,0.0000,128.0000,0,64,0.0017,0.0061,2.7854
224,1835008,0.9654,0.0000,128.0000,0,64,0.0033,0.0070,2.7110
225,1843200,0.9655,0.0000,128.0000,0,64,0.0020,0.0091,2.7786
226,1851392,0.9655,0.0000,128.0000,0,64,0.0014,0.0051,2.7013
227,1859584,0.9655,0.0000,128.0000,0,64,0.0019,0.0070,2.6837
228,1867776,0.9655,0.0000,128.0000,0,64,0.0013,0.0075,2.7794
229,1875968,0.9655,0.0000,128.0000,0,64,0.0018,0.0059,2.7502
230,1884160,0.9655,0.0000,128.0000,0,64,0.0046,0.0057,2.6204
231,1892352,0.9655,0.0000,128.0000,0,64,0.0016,0.0074,2.7225
232,1900544,0.9655,0.0000,128.0000,0,64,0.0001,0.0095,2.7369
233,1908736,0.9655,0.0000,128.0000,0,64,-0.0010,0.0090,2.7807
234,1916928,0.9655,0.0000,128.0000,0,64,-0.0000,0.0084,2.8647
235,1925120,0.9655,0.0000,128.0000,0,64,-0.0002,0.0086,2.8179
236,1933312,0.9655,0.0000,128.0000,0,64,-0.0009,0.0088,2.8712
237,1941504,0.9655,0.0000,128.0000,0,64,0.0023,0.0052,2.8670
238,1949696,0.9655,0.0000,128.0000,0,64,0.0016,0.0071,2.8694
239,1957888,0.9655,0.0000,128.0000,0,64,0.0020,0.0088,2.8049
240,1966080,0.9655,0.0000,128.0000,0,64,-0.0010,0.0089,2.7658
241,1974272,0.9655,0.0000,128.0000,0,64,-0.0027,0.0087,2.8187
242,1982464,0.9655,0.0000,128.0000,0,64,0.0003,0.0085,2.8424
243,1990656,0.9655,0.0000,128.0000,0,64,-0.0004,0.0081,2.8633
244,1998848,0.9655,0.0000,128.0000,0,64,-0.0002,0.0085,2.8445
245,2007040,0.9655,0.0000,128.0000,0,64,0.0033,0.0054,2.7582
246,2015232,0.9655,0.0000,128.0000,0,64,0.0080,0.0093,2.7465
247,2023424,0.9655,0.0000,128.0000,0,64,0.0048,0.0157,2.7238
248,2031616,0.9655,0.0000,128.0000,0,64,0.0019,0.0181,2.8194
249,2039808,0.9655,0.0000,128.0000,0,64,0.0003,0.0075,2.6346
250,2048000,0.9655,0.0000,128.0000,0,64,0.0014,0.0064,2.7136
251,2056192,0.9655,0.0000,128.0000,0,64,0.0053,0.0136,2.6483
252,2064384,0.9655,0.0000,128.0000,0,64,0.0020,0.0109,2.7065
253,2072576,0.9655,0.0000,128.0000,0,64,0.0013,0.0056,2.6828
254,2080768,0.9655,0.0000,128.0000,0,64,-0.0003,0.0057,2.6774
255,2088960,0.9654,0.0000,128.0000,0,64,0.0013,0.0085,2.7447
256,2097152,0.9654,0.0000,128.0000,0,64,0.0026,0.0079,2.7999
257,2105344,0.9654,0.0000,128.0000,0,64,0.0012,0.0088,2.7292
258,2113536,0.9654,0.0000,128.0000,0,64,-0.0006,0.0087,2.8132
259,2121728,0.9654,0.0000,128.0000,0,64,0.0014,0.0051,2.8265
260,2129920,0.9654,0.0000,128.0000,0,64,0.0003,0.0053,2.8208
261,2138112,0.9655,0.0000,128.0000,0,64,0.0110,0.0075,2.7961
262,2146304,0.9655,0.0000,128.0000,0,64,0.0003,0.0082,2.9128
263,2154496,0.9655,0.0000,128.0000,0,64,-0.0012,0.0089,2.9382
264,2162688,0.9655,0.0000,128.0000,0,64,0.0019,0.0063,2.9438
265,2170880,0.9655,0.0000,128.0000,0,64,0.0012,0.0077,2.8706
266,2179072,0.9655,0.0000,128.0000,0,64,0.0007,0.0068,2.9842
267,2187264,0.9655,0.0000,128.0000,0,64,-0.0001,0.0054,2.9592
268,2195456,0.9655,0.0000,128.0000,0,64,0.0005,0.0068,2.8976
269,2203648,0.9655,0.0000,128.0000,0,64,0.0027,0.0107,2.9431
270,2211840,0.9655,0.0000,128.0000,0,64,0.0026,0.0093,2.9334
271,2220032,0.9655,0.0000,128.0000,0,64,0.0005,0.0055,2.9685
272,2228224,0.9655,0.0000,128.0000,0,64,0.0043,0.0053,2.9899
273,2236416,0.9655,0.0000,128.0000,0,64,0.0025,0.0042,3.0147
274,2244608,0.9655,0.0000,128.0000,0,64,0.0063,0.0047,2.9946
275,2252800,0.9655,0.0000,128.0000,0,64,0.0001,0.0053,2.9924
276,2260992,0.9655,0.0000,128.0000,0,64,0.0027,0.0065,3.0199
277,2269184,0.9655,0.0000,128.0000,0,64,-0.0014,0.0066,2.9673
278,2277376,0.9655,0.0000,128.0000,0,64,0.0012,0.0048,2.9964
279,2285568,0.9655,0.0000,128.0000,0,64,0.0038,0.0075,2.9671
280,2293760,0.9655,0.0000,128.0000,0,64,-0.0013,0.0063,2.9638
281,2301952,0.9655,0.0000,128.0000,0,64,0.0003,0.0084,3.0030
282,2310144,0.9655,0.0000,128.0000,0,64,-0.0015,0.0081,3.0108
283,2318336,0.9655,0.0000,128.0000,0,64,-0.0003,0.0210,2.9709
284,2326528,0.9655,0.0000,128.0000,0,64,-0.0022,0.0197,3.0373
285,2334720,0.9655,0.0000,128.0000,0,64,-0.0005,0.0085,3.0499
286,2342912,0.9655,0.0000,128.0000,0,64,0.0027,0.0076,2.9908
287,2351104,0.9655,0.0000,128.0000,0,64,0.0006,0.0076,3.0368
288,2359296,0.9655,0.0000,128.0000,0,64,0.0017,0.0063,3.0578
289,2367488,0.9655,0.0000,128.0000,0,64,0.0007,0.0162,3.0761
290,2375680,0.9655,0.0000,128.0000,0,64,-0.0003,0.0242,2.9692
291,2383872,0.9655,0.0000,128.0000,0,64,-0.0003,0.0114,3.0099
292,2392064,0.9655,0.0000,128.0000,0,64,-0.0001,0.0056,3.0399
293,2400256,0.9658,0.0000,128.0000,0,64,0.0006,0.0203,3.0768
294,2408448,0.9682,0.0000,128.0000,0,64,0.0083,0.0262,3.0715
295,2416640,0.9696,0.0000,128.0000,0,64,0.0023,0.0111,3.0801
296,2424832,0.9700,0.0000,128.0000,0,64,0.0009,0.0096,3.0086
297,2433024,0.9700,0.0000,128.0000,0,64,-0.0001,0.0069,3.0436
298,2441216,0.9702,0.0000,128.0000,0,64,0.0047,0.0085,2.9849
299,2449408,0.9702,0.0000,128.0000,0,64,0.0023,0.0062,2.9684
300,2457600,0.9702,0.0000,128.0000,0,64,0.0061,0.0070,2.9545
301,2465792,0.9703,0.0000,128.0000,0,64,0.0038,0.0083,3.0217
302,2473984,0.9703,0.0000,128.0000,0,64,0.0005,0.0048,3.0263
303,2482176,0.9704,0.0000,128.0000,0,64,0.0021,0.0062,2.9429
